Club,cheapestSeasonWageBill,mostExpensiveSeasonWageBill,rankCheapestSeasonWageBill,rankMostExpensiveSeasonWageBill,cheapestMatchDayWageBill,mostExpensiveMatchDayWageBill,rankCheapestMatchDayWageBill,rankMostExpensiveMatchDayWageBill,cheapestMatchDayTicket,cheapestSeasonTicket
Arsenal,7.94,15.77,7,5,0.21,1.02,18,7,26.00,985.00
Aston Villa,3.92,7.17,17,16,0.24,0.54,16,15,20.00,325.00
Chelsea,3.13,6.58,19,17,0.22,0.46,17,17,41.00,595.00
Everton,6.88,11.59,10,12,0.53,0.74,6,11,31.00,399.00
Fulham,6.88,16.53,9,3,0.34,1.29,12,2,20.00,399.00
Liverpool,5.37,5.94,14,19,0.29,0.36,14,18,39.00,725.00
Man City,1.58,3.99,20,20,0.15,0.33,20,20,26.00,275.00
Man Utd,3.48,6.21,18,18,0.20,0.34,19,19,30.00,532.00
Newcastle,5.96,16.83,13,2,0.28,1.30,15,1,15.00,322.00
Stoke,7.32,12.96,8,10,0.53,1.06,7,4,25.00,344.00
Sunderland,6.56,13.85,11,9,0.41,0.66,9,13,25.00,400.00
Tottenham,8.02,20.27,6,1,0.35,0.89,11,9,32.00,730.00
West Brom,9.43,12.14,3,11,0.68,1.05,2,5,25.00,349.00
West Ham,8.57,15.18,5,7,0.64,1.20,3,3,36.00,480.00
Wigan,6.38,7.75,12,15,0.50,0.50,8,16,20.00,255.00
Birmingham City,9.24,15.34,4,6,0.55,1.05,5,6,21.00,351.00
Blackburn Rovers,5.18,9.18,15,13,0.30,0.74,13,12,15.00,259.00
Blackpool,13.56,16.16,1,4,0.96,1.00,1,8,24.00,339.00
Bolton Wanderers,5.09,8.48,16,14,0.39,0.63,10,14,22.00,285.00
Wolverhampton,10.24,14.21,2,8,0.63,0.79,4,10,24.00,389.00
