Country,Gold,Silver,Bronze,,,,,,
United States,46,29,29,,,,,,
China,38,27,23,,,,,,
Great Britain,29,17,19,,,,,,
Russia,24,26,32,,,,,,
South Korea,13,8,7,,,,,,
Germany,11,19,14,,,,,,
France,11,11,12,,,,,,
Italy,8,9,11,,,,,,
Hungary,8,4,5,,,,,,
Japan,7,14,17,,,,,,
Australia,7,16,12,,,,,,
Kazakhstan,7,1,5,,,,,,
Netherlands,6,6,8,,,,,,
Ukraine,6,5,9,,,,,,
New Zealand,6,2,5,,,,,,
Cuba,5,3,6,,,,,,
Iran,4,5,3,,,,,,
Jamaica,4,4,4,,,,,,
Czech Republic,4,3,3,,,,,,
North Korea,4,0,2,,,,,,
Spain,3,10,4,,,,,,
Brazil,3,5,9,,,,,,
South Africa,3,2,1,,,,,,
Ethiopia,3,1,3,,,,,,
Croatia,3,1,2,,,,,,
Belarus,2,5,5,,,,,,
Kenya,2,4,5,,,,,,
Romania,2,5,2,,,,,,
Denmark,2,4,3,,,,,,
Azerbaijan,2,2,6,,,,,,
Poland,2,2,6,,,,,,
Turkey,2,2,1,,,,,,
Switzerland,2,2,0,,,,,,
Lithuania,2,1,2,,,,,,
Norway,2,1,1,,,,,,
Canada,1,5,12,,,,,,
Sweden,1,4,3,,,,,,
Colombia,1,3,4,,,,,,
Georgia,1,3,3,,,,,,
Mexico,1,3,3,,,,,,
Ireland,1,1,3,,,,,,
Argentina,1,1,2,,,,,,
Slovenia,1,1,2,,,,,,
Serbia,1,1,2,,,,,,
Tunisia,1,1,1,,,,,,
Trinidad and Tobago,1,0,3,,,,,,
Uzbekistan,1,0,3,,,,,,
Dominican Republic,1,1,0,,,,,,
Latvia,1,0,1,,,,,,
Algeria,1,0,0,,,,,,
Bahamas,1,0,0,,,,,,
Grenada,1,0,0,,,,,,
Uganda,1,0,0,,,,,,
Venezuela,1,0,0,,,,,,
India,0,2,4,,,,,,
Mongolia,0,2,3,,,,,,
Thailand,0,2,1,,,,,,
Slovakia,0,1,3,,,,,,
Egypt,0,2,0,,,,,,
Armenia,0,1,2,,,,,,
Belgium,0,1,2,,,,,,
Finland,0,1,2,,,,,,
Bulgaria,0,1,1,,,,,,
Estonia,0,1,1,,,,,,
Indonesia,0,1,1,,,,,,
Malaysia,0,1,1,,,,,,
Puerto Rico,0,1,1,,,,,,
Taiwan,0,1,1,,,,,,
Botswana,0,1,0,,,,,,
Cyprus,0,1,0,,,,,,
Gabon,0,1,0,,,,,,
Guatemala,0,1,0,,,,,,
Montenegro,0,1,0,,,,,,
Portugal,0,1,0,,,,,,
Greece,0,0,2,,,,,,
Moldova,0,0,2,,,,,,
Qatar,0,0,2,,,,,,
Singapore,0,0,2,,,,,,
Afghanistan,0,0,1,,,,,,
Bahrain,0,0,1,,,,,,
Hong Kong,0,0,1,,,,,,
Saudi Arabia,0,0,1,,,,,,
Kuwait,0,0,1,,,,,,
Morocco,0,0,1,,,,,,
Tajikistan,0,0,1,,,,,,
